CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Gender,Mortality_Count
1401,2013.0,3,Hombre,1
1401,2013.0,3,Mujer,4
1401,2013.0,4,Hombre,1
1401,2013.0,4,Mujer,2
1401,2014.0,1,Hombre,2
1401,2014.0,3,Hombre,3
1401,2014.0,3,Mujer,2
1401,2014.0,4,Mujer,1
1401,2015.0,1,Hombre,3
1401,2015.0,1,Mujer,1
1401,2015.0,2,Hombre,1
1401,2015.0,2,Mujer,1
1401,2015.0,3,Hombre,1
1401,2015.0,3,Mujer,2
1401,2015.0,4,Hombre,1
1401,2015.0,4,Mujer,1
1401,2016.0,1,Hombre,1
1401,2016.0,1,Mujer,3
1401,2016.0,2,Hombre,1
1401,2016.0,3,Hombre,2
1401,2016.0,4,Mujer,1
1401,2017.0,1,Mujer,1
1401,2017.0,2,Hombre,1
1401,2017.0,2,Mujer,1
1401,2017.0,3,Hombre,2
1401,2017.0,3,Mujer,2
1401,2017.0,4,Hombre,1
1401,2018.0,1,Hombre,1
1401,2018.0,2,Hombre,4
1401,2018.0,2,Mujer,1
1401,2018.0,3,Hombre,1
1401,2018.0,3,Mujer,1
1401,2019.0,1,Hombre,3
1401,2019.0,1,Mujer,1
1401,2019.0,2,Hombre,3
1401,2019.0,2,Mujer,1
1401,2019.0,3,Mujer,1
1401,2019.0,4,Hombre,1
1401,2019.0,4,Mujer,1
1402,2004.0,2,Hombre,2
1402,2005.0,2,Mujer,1
1402,2009.0,2,Hombre,1
1402,2009.0,4,Hombre,1
1402,2010.0,4,Hombre,1
1402,2011.0,2,Hombre,1
1402,2013.0,4,Mujer,1
1402,2014.0,4,Hombre,1
1402,2016.0,2,Hombre,1
1402,2016.0,4,Hombre,1
1402,2017.0,2,Hombre,1
1402,2017.0,2,Mujer,1
1402,2017.0,4,Mujer,1
1402,2018.0,3,Hombre,1
1403,1999.0,2,Mujer,1
1403,2000.0,2,Mujer,1
1403,2001.0,2,Hombre,1
1403,2003.0,4,Mujer,1
1403,2004.0,2,Hombre,1
1403,2005.0,2,Hombre,1
1403,2005.0,2,Mujer,1
1403,2006.0,3,Hombre,1
1403,2009.0,4,Hombre,1
1403,2010.0,4,Mujer,1
1403,2011.0,4,Hombre,1
1403,2012.0,4,Mujer,1
1403,2013.0,2,Mujer,1
1403,2014.0,1,Mujer,1
1403,2014.0,2,Hombre,1
1403,2015.0,1,Hombre,1
1403,2017.0,4,Mujer,1
1403,2018.0,1,Mujer,1
1403,2019.0,2,Mujer,1
1404,1997.0,1,Hombre,1
1404,1997.0,2,Hombre,1
1404,1998.0,2,Hombre,1
1404,1998.0,4,Hombre,1
1404,1999.0,1,Mujer,1
1404,1999.0,4,Hombre,1
1404,2000.0,1,Mujer,2
1404,2001.0,2,Hombre,1
1404,2002.0,3,Hombre,1
1404,2003.0,2,Hombre,2
1404,2003.0,2,Mujer,1
1404,2004.0,1,Hombre,1
1404,2004.0,2,Mujer,1
1404,2004.0,3,Mujer,1
1404,2004.0,4,Hombre,1
1404,2005.0,2,Hombre,1
1404,2005.0,3,Mujer,1
1404,2006.0,1,Hombre,1
1404,2006.0,4,Mujer,1
1404,2007.0,1,Mujer,1
1404,2008.0,1,Mujer,1
1404,2008.0,2,Hombre,1
1404,2008.0,4,Hombre,2
1404,2009.0,2,Mujer,1
1404,2010.0,2,Hombre,1
1404,2010.0,3,Hombre,1
1404,2011.0,4,Mujer,1
1404,2012.0,1,Mujer,1
1404,2012.0,2,Hombre,1
1404,2013.0,2,Hombre,1
1404,2013.0,2,Mujer,1
1404,2013.0,4,Mujer,1
1404,2014.0,3,Hombre,1
1404,2014.0,3,Mujer,2
1404,2015.0,2,Hombre,1
1404,2015.0,4,Mujer,1
1404,2016.0,1,Hombre,1
1404,2016.0,4,Hombre,1
1404,2017.0,2,Mujer,2
1404,2017.0,4,Hombre,2
1404,2019.0,2,Mujer,1
1404,2019.0,4,Hombre,1
1405,1997.0,2,Hombre,1
1405,1997.0,4,Hombre,1
1405,1998.0,1,Hombre,1
1405,1998.0,1,Mujer,1
1405,1998.0,4,Hombre,1
1405,1998.0,4,Mujer,1
1405,1999.0,3,Mujer,1
1405,2000.0,1,Hombre,1
1405,2000.0,3,Mujer,1
1405,2000.0,4,Hombre,1
1405,2001.0,2,Mujer,1
1405,2001.0,4,Mujer,1
1405,2002.0,1,Hombre,1
1405,2002.0,3,Hombre,1
1405,2002.0,4,Mujer,2
1405,2003.0,2,Hombre,1
1405,2003.0,3,Hombre,1
1405,2003.0,3,Mujer,1
1405,2003.0,4,Hombre,1
1405,2003.0,4,Mujer,1
1405,2004.0,3,Hombre,1
1405,2004.0,4,Hombre,1
1405,2005.0,1,Hombre,1
1405,2005.0,2,Hombre,1
1405,2005.0,3,Hombre,4
1405,2005.0,3,Mujer,2
1405,2005.0,4,Hombre,1
1405,2006.0,1,Mujer,2
1405,2006.0,2,Hombre,1
1405,2006.0,4,Mujer,1
1405,2007.0,2,Hombre,1
1405,2008.0,1,Hombre,1
1405,2009.0,1,Hombre,1
1405,2009.0,1,Mujer,1
1405,2009.0,2,Mujer,1
1405,2009.0,3,Hombre,1
1405,2010.0,2,Mujer,3
1405,2010.0,3,Hombre,1
1405,2011.0,1,Hombre,1
1405,2011.0,4,Hombre,1
1405,2012.0,2,Mujer,1
1405,2012.0,3,Mujer,1
1405,2012.0,4,Hombre,1
1405,2012.0,4,Mujer,1
1405,2013.0,1,Mujer,1
1405,2013.0,2,Hombre,2
1405,2013.0,4,Hombre,2
1405,2014.0,1,Hombre,1
1405,2014.0,1,Mujer,2
1405,2014.0,2,Hombre,3
1405,2014.0,2,Mujer,1
1405,2014.0,3,Hombre,2
1405,2015.0,2,Hombre,1
1405,2015.0,2,Mujer,2
1405,2015.0,4,Hombre,2
1405,2016.0,1,Mujer,1
1405,2016.0,2,Hombre,1
1405,2016.0,2,Mujer,2
1405,2016.0,3,Hombre,2
1405,2016.0,3,Mujer,1
1405,2016.0,4,Mujer,1
1405,2017.0,1,Hombre,1
1405,2017.0,3,Hombre,1
1405,2017.0,4,Mujer,1
1405,2018.0,2,Hombre,1
1405,2018.0,2,Mujer,1
1405,2018.0,3,Mujer,1
1405,2018.0,4,Hombre,1
1405,2018.0,4,Mujer,2
1405,2019.0,1,Hombre,1
1405,2019.0,2,Hombre,1
1405,2019.0,3,Hombre,1
1405,2019.0,3,Mujer,1
1405,2019.0,4,Hombre,1
1405,2019.0,4,Mujer,2
2101,1997.0,1,Hombre,28
2101,1997.0,1,Mujer,36
2101,1997.0,2,Hombre,24
2101,1997.0,2,Mujer,37
2101,1997.0,3,Hombre,21
2101,1997.0,3,Mujer,44
